jd,latitude_deg,longitude_deg
2460482.84027778,47.6962,85.8387
2460482.84097222,46.0479,90.7376
2460482.84166667,44.1810,95.3214
2460482.84236111,42.1218,99.5961
2460482.84305556,39.8946,103.5771
2460482.84375000,37.5219,107.2855
2460482.84444444,35.0235,110.7457
2460482.84513889,32.4170,113.9832
2460482.84583333,29.7181,117.0232
2460482.84652778,26.9402,119.8902
2460482.84722222,24.0954,122.6069
2460482.84791667,21.1940,125.1948
2460482.84861111,18.2455,127.6736
2460482.84930556,15.2582,130.0619
2460482.85000000,12.2397,132.3766
2460482.85069444,9.1969,134.6337
2460482.85138889,6.1362,136.8485
2460482.85208333,3.0639,139.0354
2460482.85277778,-0.0142,141.2085
2460482.85347222,-3.0922,143.3817
2460482.85416667,-6.1645,145.5689
2460482.85486111,-9.2250,147.7840
2460482.85555556,-12.2677,150.0417
2460482.85625000,-15.2860,152.3570
2460482.85694444,-18.2731,154.7460
2460482.85763889,-21.2213,157.2259
2460482.85833333,-24.1223,159.8150
2460482.85902778,-26.9666,162.5332
2460482.85972222,-29.7439,165.4018
2460482.86041667,-32.4422,168.4437
2460482.86111111,-35.0478,171.6834
2460482.86180556,-37.5452,175.1460
2460482.86250000,-39.9168,178.8571
2460482.86319444,-42.1426,-177.1589
2460482.86388889,-44.2002,-172.8810
2460482.86458333,-46.0652,-168.2938
2460482.86527778,-47.7113,-163.3914
2460482.86597222,-49.1115,-158.1814
2460482.86666667,-50.2395,-152.6882
2460482.86736111,-51.0713,-146.9561
2460482.86805556,-51.5875,-141.0490
2460482.86875000,-51.7752,-135.0470
2460482.86944444,-51.6297,-129.0397
2460482.87013889,-51.1549,-123.1176
2460482.87083333,-50.3628,-117.3622
2460482.87152778,-49.2722,-111.8395
2460482.87222222,-47.9068,-106.5961
2460482.87291667,-46.2929,-101.6586
2460482.87361111,-44.4574,-97.0363
2460482.87430556,-42.4268,-92.7248
2460482.87500000,-40.2258,-88.7095
2460482.87569444,-37.8770,-84.9699
